timestamp_ms,ear,neck_angle,shoulder_diff,head_yaw,head_pitch,face_detected,phone_detected,label
1778199367634,0.3645,32.77,5.57,22.75,0.32,1,0,distracted
1778199367667,0.3652,32.83,5.43,22.81,0.02,1,0,distracted
1778199367700,0.3979,32.96,5.56,22.75,0.18,1,0,distracted
1778199367734,0.3686,33.1,6.51,22.91,-0.07,1,0,distracted
1778199367767,0.3905,33.3,6.58,22.78,-0.07,1,0,distracted
1778199367800,0.373,33.34,6.83,22.68,0.12,1,0,distracted
1778199367834,0.3774,33.23,6.08,22.65,-0.22,1,0,distracted
1778199367867,0.3386,33.21,5.2,22.71,-0.79,1,0,distracted
1778199367900,0.2639,33.3,4.24,22.65,-1.2,1,0,distracted
1778199367934,0.1672,33.64,3.18,22.53,-2.51,1,0,distracted
1778199367967,0.2391,34.34,2.3,22.15,-4.27,1,0,distracted
1778199368000,0.329,34.86,1.39,21.87,-5.55,1,0,distracted
1778199368034,0.3252,35.31,1.21,21.74,-6.57,1,0,distracted
1778199368067,0.4527,38.96,0.87,20.4,-12.52,1,0,distracted
1778199368100,0.4236,40.24,0.63,19.69,-13.04,1,0,distracted
1778199368134,0.4702,41.7,0.12,19.32,-12.72,1,0,distracted
1778199368167,0.4717,42.98,0.78,19.16,-12.64,1,0,distracted
1778199368200,0.4899,45.91,5.96,18.59,-12.01,1,0,distracted
1778199368234,0.4502,46.88,6.34,18.29,-12.12,1,0,distracted
1778199368267,0.5269,47.16,5.98,18.04,-12.33,1,0,distracted
1778199368300,0.4584,47.94,5.55,17.78,-14.45,1,0,distracted
1778199368334,0.4168,48.9,5.25,17.9,-14.02,1,0,distracted
1778199368367,0.437,49.08,5.19,17.45,-14.75,1,0,distracted
1778199368400,0.4267,49.95,4.89,16.98,-14.6,1,0,distracted
1778199368434,0.4242,50.57,6.37,16.63,-14.39,1,0,distracted
1778199368467,0.4459,51.32,6.84,16.01,-15.78,1,0,distracted
1778199368500,0.3797,52.93,6.81,15.75,-16.3,1,0,distracted
1778199368534,0.4467,54.01,6.74,15.21,-16.66,1,0,distracted
1778199368567,0.4663,54.81,4.62,14.31,-18.04,1,0,distracted
1778199368600,0.5821,55.71,0.02,14.64,-16.93,1,0,distracted
1778199368634,0.5619,56.55,4.94,14.93,-16.34,1,0,distracted
1778199368667,0.5116,57.05,8.26,15.01,-16.4,1,0,distracted
1778199368700,0.5328,57.05,8.77,14.79,-16.76,1,0,distracted
1778199368734,0.4714,56.94,8.71,15.48,-16.8,1,0,distracted
1778199368767,0.5663,57.07,11.22,15.03,-17.0,1,0,distracted
1778199368800,0.6134,57.26,11.96,15.46,-16.58,1,0,distracted
1778199368834,0.51,57.11,16.74,15.97,-15.61,1,0,distracted
1778199368867,0.479,56.93,16.4,16.14,-14.8,1,0,distracted
1778199368900,0.3345,56.64,14.47,15.9,-13.25,1,0,distracted
1778199368934,0.3208,56.57,13.0,15.69,-12.73,1,0,distracted
1778199368967,0.3712,55.56,12.76,15.34,-13.23,1,0,distracted
1778199369000,0.467,55.44,11.12,15.65,-11.0,1,0,distracted
1778199369034,0.4875,54.26,8.81,14.96,-9.66,1,0,distracted
1778199369067,0.6018,54.12,5.02,15.38,-7.83,1,0,distracted
1778199369100,0.5143,53.67,5.21,15.62,-7.71,1,0,distracted
1778199369134,0.5531,52.75,3.96,15.25,-8.31,1,0,distracted
1778199369167,0.5093,53.06,4.19,15.09,-8.72,1,0,distracted
1778199369200,0.5766,53.48,4.44,14.98,-9.86,1,0,distracted
1778199369234,0.6228,54.0,5.8,14.96,-10.17,1,0,distracted
1778199369267,0.577,54.15,6.3,14.85,-11.63,1,0,distracted
1778199369300,0.6124,53.67,7.2,14.5,-13.19,1,0,distracted
1778199369334,0.6529,53.44,9.65,13.76,-14.86,1,0,distracted
1778199369367,0.6509,53.86,10.89,13.7,-13.71,1,0,distracted
1778199369400,0.7034,53.56,11.73,13.59,-13.03,1,0,distracted
1778199369434,0.6281,53.17,8.03,14.01,-13.34,1,0,distracted
1778199369467,0.737,53.77,3.47,13.18,-13.47,1,0,distracted
1778199369500,0.7752,54.4,7.52,13.08,-12.82,1,0,distracted
1778199369534,0.6808,54.39,3.03,13.21,-14.01,1,0,distracted
1778199369567,0.5891,55.19,1.52,13.93,-13.71,1,0,distracted
1778199369600,0.6647,53.55,0.47,14.5,-14.72,1,0,distracted
1778199369634,0.5405,53.14,3.31,14.48,-14.83,1,0,distracted
1778199369667,0.5571,52.62,4.92,14.81,-14.21,1,0,distracted
1778199369700,0.6448,53.93,5.27,14.22,-13.46,1,0,distracted
1778199369734,0.6294,52.91,1.57,14.7,-15.68,1,0,distracted
1778199369767,0.5847,50.87,0.99,14.96,-15.38,1,0,distracted
1778199369800,0.6221,49.58,8.15,14.44,-15.52,1,0,distracted
1778199369834,0.6132,49.31,7.64,13.8,-14.19,1,0,distracted
1778199369867,0.7671,49.51,7.33,13.25,-13.09,1,0,distracted
1778199369900,0.654,47.74,13.65,13.16,-12.75,1,0,distracted
1778199369934,0.8076,47.1,13.36,12.87,-14.85,1,0,distracted
1778199369967,0.74,46.9,8.05,13.11,-14.93,1,0,distracted
1778199370000,0.6588,46.17,14.06,12.99,-15.99,1,0,distracted
1778199370034,0.6631,45.86,11.86,13.21,-14.55,1,0,distracted
1778199370067,0.6872,45.54,8.51,13.07,-15.63,1,0,distracted
1778199370100,0.6216,46.15,5.53,13.34,-16.42,1,0,distracted
1778199370134,0.5796,45.83,1.49,13.82,-16.19,1,0,distracted
1778199370167,0.6384,46.15,2.03,14.3,-15.42,1,0,distracted
1778199370200,0.5616,46.88,2.21,14.27,-15.38,1,0,distracted
1778199370234,0.6118,47.39,2.05,13.84,-15.63,1,0,distracted
1778199370267,0.5485,47.72,1.04,13.86,-15.33,1,0,distracted
1778199370300,0.5861,47.81,0.06,14.23,-14.93,1,0,distracted
1778199370334,0.4689,48.08,4.14,14.93,-12.94,1,0,distracted
1778199370367,0.5096,47.58,4.4,14.33,-13.53,1,0,distracted
1778199370400,0.4296,46.63,5.45,14.86,-12.13,1,0,distracted
