timestamp_ms,ear,neck_angle,shoulder_diff,head_yaw,head_pitch,face_detected,phone_detected,label
1778136105737,0.0967,33.9,32.23,34.78,3.11,1,0,focus
1778136105770,0.2639,32.98,21.96,34.87,2.46,1,0,focus
1778136105803,0.3448,32.48,19.7,34.86,2.17,1,0,focus
1778136105837,0.3662,31.87,15.78,34.87,1.91,1,0,focus
1778136105870,0.3529,31.53,12.96,34.85,1.81,1,0,focus
1778136105903,0.364,31.67,13.8,34.68,1.4,1,0,focus
1778136105937,0.3892,31.9,13.93,34.06,0.29,1,0,focus
1778136105970,0.4,32.09,12.2,34.09,-0.12,1,0,focus
1778136106003,0.393,32.61,10.23,34.15,-0.03,1,0,focus
1778136106037,0.3833,32.85,9.12,34.1,-0.12,1,0,focus
1778136106070,0.407,32.79,9.02,34.03,0.13,1,0,focus
1778136106103,0.4275,32.85,9.02,34.03,0.21,1,0,focus
1778136106137,0.4312,32.89,6.49,34.04,0.37,1,0,focus
1778136106170,0.4287,32.89,5.49,33.88,0.13,1,0,focus
1778136106203,0.3839,32.96,4.8,33.97,0.35,1,0,focus
1778136106237,0.4076,32.86,4.17,34.02,0.35,1,0,focus
1778136106270,0.4012,32.64,3.52,34.07,0.29,1,0,focus
1778136106303,0.4042,32.48,3.53,34.01,0.69,1,0,focus
1778136106337,0.4098,32.42,2.58,33.97,0.54,1,0,focus
1778136106370,0.4185,32.28,1.72,33.98,0.87,1,0,focus
1778136106403,0.4052,32.16,1.13,34.1,0.84,1,0,focus
1778136106437,0.3894,32.13,0.7,34.02,0.82,1,0,focus
1778136106470,0.3972,32.09,0.37,34.03,1.0,1,0,focus
1778136106503,0.3965,32.12,0.27,34.16,1.06,1,0,focus
1778136106537,0.393,32.07,0.17,34.22,1.14,1,0,focus
1778136106570,0.3765,32.07,0.03,34.07,1.52,1,0,focus
1778136106603,0.3894,32.11,0.76,33.91,1.46,1,0,focus
1778136106637,0.4241,32.15,0.94,33.98,1.36,1,0,focus
1778136106670,0.4119,32.16,0.98,33.98,1.26,1,0,focus
1778136106703,0.4023,32.19,0.76,33.95,1.48,1,0,focus
1778136106737,0.3968,32.12,0.54,34.07,1.43,1,0,focus
1778136106770,0.3868,32.08,1.44,34.03,1.64,1,0,focus
1778136106803,0.3936,32.03,2.79,34.02,1.59,1,0,focus
1778136106837,0.3785,32.03,3.04,33.96,1.17,1,0,focus
1778136106870,0.383,32.18,4.03,33.95,1.56,1,0,focus
1778136106903,0.3973,32.14,4.79,33.85,1.36,1,0,focus
1778136106937,0.3797,32.12,5.69,34.0,1.34,1,0,focus
1778136106970,0.3694,32.22,6.0,33.83,1.38,1,0,focus
1778136107003,0.3816,32.43,6.17,33.9,1.17,1,0,focus
1778136107037,0.3665,32.52,5.82,33.85,1.3,1,0,focus
1778136107070,0.3604,32.38,5.84,34.04,1.42,1,0,focus
1778136107103,0.3602,32.35,6.38,33.9,1.39,1,0,focus
1778136107137,0.3488,32.38,5.98,33.86,1.04,1,0,focus
1778136107170,0.3309,32.51,5.9,33.94,0.99,1,0,focus
1778136107203,0.3309,32.72,5.96,33.9,0.48,1,0,focus
1778136107237,0.3435,32.93,6.39,33.79,0.33,1,0,focus
1778136107270,0.359,32.95,6.96,33.79,0.17,1,0,focus
1778136107303,0.3386,33.04,6.81,33.91,0.22,1,0,focus
1778136107337,0.3553,33.14,7.13,33.72,-0.31,1,0,focus
1778136107370,0.3553,33.23,7.11,33.57,-0.14,1,0,focus
1778136107403,0.3482,33.31,6.84,33.68,-0.27,1,0,focus
1778136107437,0.3488,33.35,6.88,33.73,-0.02,1,0,focus
1778136107470,0.3276,33.44,7.02,33.68,0.15,1,0,focus
1778136107503,0.3457,33.59,6.83,33.58,0.19,1,0,focus
1778136107537,0.3367,33.68,6.71,33.68,0.16,1,0,focus
1778136107570,0.3523,33.67,6.77,33.73,0.11,1,0,focus
1778136107603,0.3593,33.65,6.89,33.56,0.29,1,0,focus
1778136107637,0.3369,33.61,6.98,33.76,0.49,1,0,focus
1778136107670,0.3578,33.56,6.54,33.85,0.4,1,0,focus
1778136107703,0.3407,33.44,6.5,33.94,0.54,1,0,focus
1778136107737,0.3318,33.36,6.47,33.87,0.82,1,0,focus
1778136107770,0.3317,33.32,6.4,33.85,0.61,1,0,focus
1778136107803,0.3721,33.2,6.35,33.89,0.93,1,0,focus
1778136107837,0.3944,32.86,6.44,34.03,1.19,1,0,focus
1778136107870,0.3885,32.57,5.97,33.95,1.57,1,0,focus
1778136107903,0.3901,32.34,5.77,33.95,1.27,1,0,focus
1778136107937,0.4022,32.22,5.84,33.91,1.4,1,0,focus
1778136107970,0.3868,32.06,6.17,34.11,1.35,1,0,focus
1778136108003,0.3972,31.98,5.79,34.0,1.77,1,0,focus
1778136108037,0.3938,31.75,5.3,34.07,1.23,1,0,focus
1778136108070,0.3856,31.65,5.11,34.1,1.61,1,0,focus
1778136108103,0.3772,31.62,4.74,34.16,1.22,1,0,focus
1778136108137,0.3933,31.61,4.09,34.11,1.53,1,0,focus
1778136108170,0.3935,31.63,5.1,34.3,1.15,1,0,focus
1778136108203,0.3893,31.52,4.56,34.27,1.04,1,0,focus
1778136108237,0.3995,31.33,4.72,34.19,0.68,1,0,focus
1778136108270,0.408,31.29,5.26,34.24,0.93,1,0,focus
1778136108303,0.3764,31.15,5.52,34.21,0.99,1,0,focus
1778136108337,0.1025,31.14,5.39,34.09,0.7,1,0,focus
1778136108370,0.1317,31.03,5.41,34.02,0.85,1,0,focus
1778136108403,0.2483,30.99,6.25,34.19,0.73,1,0,focus
1778136108437,0.3629,31.12,6.57,34.24,0.96,1,0,focus
1778136108470,0.3745,31.19,6.94,34.22,0.66,1,0,focus
1778136108503,0.3814,31.25,6.03,34.14,0.75,1,0,focus
1778136108537,0.3659,31.37,2.72,34.15,0.68,1,0,focus
1778136108570,0.3757,31.35,1.19,34.06,0.36,1,0,focus
1778136108603,0.3792,31.25,1.0,34.22,0.58,1,0,focus
1778136108637,0.3752,31.25,0.78,34.22,0.28,1,0,focus
1778136108670,0.3801,31.24,0.5,34.18,0.31,1,0,focus
1778136108703,0.3911,31.21,0.85,34.29,0.14,1,0,focus
1778136108737,0.3784,31.22,1.04,34.0,-0.17,1,0,focus
1778136108770,0.3904,31.17,0.83,34.06,-0.39,1,0,focus
1778136108803,0.386,31.18,0.95,34.09,-0.44,1,0,focus
1778136108837,0.3909,31.23,1.16,34.08,-0.5,1,0,focus
1778136108870,0.3719,31.29,1.17,34.19,-0.61,1,0,focus
1778136108903,0.3746,31.19,1.29,34.28,-0.61,1,0,focus
1778136108937,0.384,31.24,1.47,34.08,-0.8,1,0,focus
1778136108970,0.383,31.14,1.9,34.15,-0.54,1,0,focus
1778136109003,0.3911,31.11,1.88,34.03,-0.61,1,0,focus
1778136109037,0.385,31.11,1.86,34.16,-0.75,1,0,focus
1778136109070,0.3831,31.05,1.84,33.96,-0.65,1,0,focus
1778136109103,0.3768,31.01,1.81,34.0,-0.6,1,0,focus
1778136109137,0.3771,30.99,1.66,34.24,-0.34,1,0,focus
1778136109170,0.3985,31.01,1.5,34.19,-0.29,1,0,focus
